country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Ecuador,455,375,316,369,441,455,450,459,451,528,472,441,496,588,970,1110,1260,1490,1570,1820,2240,2660,2370,1990,1910,1890,1650,1460,1340,1390,1490,1620,1690,1730,2030,2130,2160,2360,2290,1580,1450,1890,2170,2430,2690,3000,3330,3570,4250,4230,4630,5200,5680,6060,6380,6120,6060,6210,6300,6180
Egypt,,,,,,163,169,175,180,194,233,244,258,274,245,302,338,357,359,426,500,499,607,663,708,793,815,778,655,726,766,651,713,778,849,965,1060,1210,1280,1340,1450,1380,1190,1100,1060,1190,1400,1670,2040,2330,2650,2790,3230,3260,3380,3560,3520,2440,2540,3020
El Salvador,,,,,,274,282,288,290,293,308,315,327,364,410,453,548,678,707,768,778,737,718,730,752,770,754,781,816,841,914,983,1070,1220,1380,1590,1680,1780,1890,1930,2000,2070,2120,2210,2280,2430,2630,2790,2930,2860,2980,3270,3430,3510,3590,3710,3810,3910,4070,4190
Equatorial Guinea,,,34.8,40.8,47,234,244,248,225,221,218,217,226,292,354,408,418,429,,,203,139,156,144,152,176,207,244,255,217,267,256,301,294,210,286,451,825,664,1070,1730,2310,2740,3620,6150,11000,12900,15900,22900,16700,17300,21600,21700,20400,19400,11300,9250,9670,10100,8130
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211,209,240,262,316,313,338,308,308,317,294,335,408,389,415,440,451,595,501,643,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2680,2810,3130,3380,3680,4090,4140,4080,4510,5340,7210,8910,10400,12600,16700,18200,14800,14800,17600,17500,19200,20400,17500,18400,20500,23200,23700
Eswatini,104,125,131,151,178,188,200,189,196,252,260,307,321,472,545,577,529,571,620,725,922,939,854,852,732,516,621,780,894,873,1360,1370,1480,1530,1560,1830,1700,1780,1610,1560,1730,1520,1410,2150,2700,3080,3180,3330,3140,3390,4170,4500,4530,4230,4040,3680,3430,3910,4110,3890
Ethiopia,,,,,,,,,,,,,,,,,,,,,,204,208,225,206,233,235,243,244,248,254,271,204,166,126,134,145,142,125,120,124,121,112,119,136,162,195,244,326,381,342,354,467,500,567,641,717,769,772,856
Fiji,285,287,291,297,311,317,316,333,335,357,422,466,583,769,988,1190,1180,1200,1360,1640,1890,1900,1790,1640,1680,1600,1800,1630,1540,1630,1840,1880,2060,2170,2380,2540,2710,2640,2070,2410,2080,2040,2260,2840,3330,3660,3750,4070,4170,3360,3650,4370,4590,4840,5610,5390,5650,6100,6320,6180
Finland,1180,1330,1410,1520,1710,1880,2010,2030,1910,2180,2470,2720,3180,4170,5300,6260,6740,7070,7630,9330,11200,10900,10900,10500,10800,11400,15000,18600,22000,24000,28400,25500,22300,17600,20300,26300,25800,24700,26000,26200,24300,24900,26900,32900,37700,39000,41200,48400,53600,47300,46500,51100,47700,49900,50300,42800,43800,46300,50000,48800
France,1330,1430,1580,1740,1910,2040,2190,2340,2540,2750,2860,3170,3850,4970,5330,6690,6870,7530,9260,11200,12700,11100,10500,9990,9420,9760,13500,16300,17700,17700,21800,21700,23800,22400,23500,26900,26900,24200,25000,24700,22400,22400,24200,29600,33700,34800,36400,41500,45300,41600,40600,43800,40900,42600,43000,36600,37000,38800,41600,40500
Gabon,282,331,358,298,411,425,453,490,520,551,549,635,704,1160,2430,3330,4550,4150,3450,4280,5890,5190,4740,4330,4420,4040,4000,3760,4270,4530,6270,5540,5580,4250,3960,4570,5120,4670,3830,3890,4130,3990,4140,4930,5740,6890,7220,8460,10300,7720,8850,10800,9810,9680,9660,7380,6980,7230,7960,7770
Gambia,,,,,,,106,109,93.8,100,113,117,120,148,183,213,201,239,288,336,378,333,319,305,244,299,235,265,305,310,332,695,695,712,682,696,729,669,679,638,594,505,412,336,643,666,662,780,925,833,861,763,743,701,607,661,691,680,733,778
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610,1310,757,550,520,578,689,807,852,674,750,802,854,1010,1310,1640,2000,2640,3320,2820,3230,4020,4420,4620,4740,4010,4060,4360,4720,4700
Germany,,,,,,,,,,,2760,3190,3810,5050,5640,6240,6630,7680,9480,11300,12100,10200,9910,9860,9310,9430,13500,16700,17900,17800,22300,23400,26400,25500,27100,31700,30500,27000,27300,26700,23600,23600,25100,30200,34000,34500,36300,41600,45400,41500,41500,46600,43900,46300,48000,41100,42100,44600,47800,46400
Ghana,183,190,195,211,230,265,268,215,200,230,254,269,229,260,297,281,271,307,346,372,402,372,346,337,356,352,435,374,373,366,399,434,410,370,329,380,397,385,408,410,258,269,305,368,418,493,913,1080,1220,1080,1300,1550,1590,2350,1970,1740,1930,2030,2200,2200
Greece,520,591,617,695,784,899,997,1070,1150,1320,1490,1650,1900,2500,2830,3150,3390,3890,4690,5710,5890,5380,5580,5020,4850,4810,5660,6560,7600,7850,9600,10200,11200,10400,11100,13000,13700,13400,13500,13200,12000,12500,14100,18500,22000,22600,24800,28800,32000,29700,26900,25900,22200,21900,21800,18200,18100,18900,20300,19600
Grenada,,,,,,,,,,,,,,,,,,792,991,1150,1250,1280,1350,1370,1480,1680,1870,2160,2410,2760,2890,3120,3190,3150,3270,3410,3630,3860,4370,4710,5060,5040,5210,5680,5740,6650,6660,7210,7830,7290,7260,7290,7440,7790,8370,9100,9630,10200,10500,10800
Guatemala,253,253,261,280,280,279,283,288,311,322,349,355,367,439,527,595,696,855,925,1030,1140,1220,1200,1210,1230,1230,892,850,915,955,845,1010,1090,1160,1290,1420,1490,1650,1760,1620,1660,1580,1710,1770,1890,2100,2290,2530,2850,2700,2900,3280,3410,3520,3780,3990,4170,4450,4470,4620
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,342,352,399,394,420,461,489,475,478,508,518,494,456,430,363,336,344,394,407,322,453,660,715,674,672,651,717,769,787,769,732,856,879,963
Guinea-Bissau,,,,,,,,,,,112,109,120,120,130,142,146,149,159,153,142,195,204,197,163,165,146,190,176,223,250,258,222,227,221,233,243,237,179,191,308,320,333,372,405,436,430,494,600,559,558,704,616,635,623,603,661,739,778,697
Guyana,298,315,322,282,305,327,344,370,335,358,380,395,395,421,588,663,603,590,658,683,773,730,617,628,565,589,660,468,551,509,534,468,499,602,713,817,927,988,952,927,954,956,975,997,1060,1110,3190,3660,4050,4230,4580,4910,5380,5490,5410,5580,5810,6120,6150,6610
Haiti,70.7,68.8,70.1,72,77.9,82.9,85,83.4,81.6,85.3,70.8,76.3,76.9,94.9,113,134,169,179,180,196,245,256,249,268,293,317,358,309,387,397,440,484,308,252,285,363,369,416,456,499,812,739,698,562,664,767,793,981,1080,1150,1170,1290,1340,1390,1400,1390,1270,1290,1440,1270
Honduras,165,170,180,185,200,217,228,241,253,253,266,261,279,307,338,356,415,498,896,994,1080,1070,1090,1110,1180,1230,1290,1360,1260,1130,993,912,943,913,837,937,888,949,1020,1000,1080,1130,1130,1160,1220,1310,1430,1580,1740,1790,1900,2090,2140,2100,2210,2300,2340,2450,2510,2570
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3350,3740,3870,4170,4490,4530,4600,4740,4790,4620,5280,6660,8420,10300,11200,11500,13900,15800,13000,13200,14200,13000,13700,14300,12700,13100,14600,16400,16700
Iceland,1410,1420,1560,1830,2300,2720,3220,3130,2350,2040,2580,3260,4020,5450,7050,6460,7590,9970,11300,12700,14800,15200,13700,11700,12000,12400,16400,22500,24500,22500,25400,26800,27200,23600,24100,26700,27700,28000,31000,32300,32000,28800,32300,39400,47400,56700,56700,69100,56400,41300,43000,47500,45900,49500,54200,52600,61500,71300,73000,66900
India,82.2,85.4,89.9,101,116,119,90,96.3,99.9,108,112,119,123,144,163,158,161,186,206,224,267,270,274,291,277,296,310,340,354,346,368,303,317,301,346,374,400,415,413,442,443,452,471,547,628,715,807,1030,999,1100,1360,1460,1440,1450,1570,1610,1730,1980,2010,2100
Indonesia,,,,,,,,53.5,65.1,74.6,79.7,79.2,90.9,131,202,233,278,334,366,357,492,567,584,513,525,517,475,442,482,530,585,632,682,828,912,1030,1140,1060,464,671,780,748,900,1070,1150,1260,1590,1860,2170,2260,3120,3640,3690,3620,3490,3330,3560,3840,3890,4140
Iran,192,197,203,208,221,248,265,287,319,351,385,469,570,876,1450,1580,2020,2320,2170,2430,2440,2500,3010,3580,3570,3810,4240,2620,2320,2200,2210,,,1070,1190,1570,1930,1800,1720,1760,1670,1910,1910,2250,2760,3250,3770,4900,5720,5710,6600,7780,7930,6020,5590,4900,5250,5520,5550,
Iraq,231,245,255,251,288,,,,313,314,331,377,388,469,1020,1150,1470,1590,1850,2850,3910,2740,2950,2740,3080,3100,2960,3480,3760,3860,10300,,,,,,,,,,,,,,1390,1860,2370,3180,4640,3850,4660,6040,6830,7080,6820,4990,4780,5210,5830,5960
